node,beta,degree
n0,-3.51991143906438,6
n100,-1.94160240624576,28
n1006,-1.43818987385348,45
n1009,-2.34480010856028,19
n1011,-0.559227572591565,99
n1014,-1.94160240624577,28
n10168,-4.2182609136025,3
n1018,-3.36402889844668,7
n1024,-1.56446375821739,40
n1032,-1.67663181284106,36
n10381,-5.32034712090361,1
n1048,-2.45946557240675,17
n10490,-4.2182609136025,3
n105,-1.2610167111047,53
n1053,-2.58807250110575,15
n1060,-2.73462116602256,13
n1078,-1.90480099215796,29
n1084,-3.51991143906438,6
n1087,-2.65878877372373,14
n109,-2.90512719009219,11
n11043,-3.92884361178356,4
n1114,-3.36402889844668,7
n1117,-2.58807250110575,15
n11185,-5.32034712090361,1
n1126,-2.45946557240675,17
n1127,-1.46235927362908,44
n1134,-1.83469209599483,31
n1143,-1.53807134094284,41
n11438,-4.62546239996182,2
n11459,-3.92884361178357,4
n1152,-3.10925402987224,9
n11557,-4.62546239996182,2
n1156,-2.10260251764155,24
n117,-2.90512719009219,11
n1171,-2.01913326864473,26
n1175,-1.59148219783467,39
n1177,-1.00303272350237,67
n1179,-0.29281969152083,124
n1181,-3.00216491085157,10
n1186,-3.36402889844668,7
n1187,-1.80123595697192,32
n1189,-0.189785021001322,135
n119,-2.73462116602256,13
n1204,-2.90512719009219,11
n1218,-1.80123595697192,32
n122,-3.51991143906438,6
n1220,-3.10925402987224,9
n124,-2.34480010856028,19
n1242,-3.51991143906438,6
n1245,-3.92884361178356,4
n1248,-2.34480010856028,19
n125,-3.51991143906438,6
n126,-1.3462538899008,49
n1265,-2.10260251764155,24
n1269,-2.24128070372103,21
n1271,-2.45946557240675,17
n1286,-2.06006679230716,25
n129,-4.2182609136025,3
n131,-2.81638932330843,12
n1310,-2.52181158765623,16
n1324,-3.00216491085157,10
n1325,-1.10694057450043,61
n1334,-1.1624260485613,58
n1341,-1.39131408225435,47
n1352,-1.76875772912284,33
n1358,-1.86919023742149,30
n1360,-2.19304414862394,22
n1361,-1.67663181284106,36
n1369,-2.40058675432394,18
n1370,-2.58807250110575,15
n1376,-2.73462116602256,13
n139,-3.22876674281693,8
n1395,-2.34480010856028,19
n14,-1.56446375821739,40
n1403,-1.70650668077122,35
n1405,-1.73719906213548,34
n1407,-2.06006679230716,25
n1408,-2.58807250110575,15
n1452,-3.51991143906438,6
n1453,-4.62546239996182,2
n1468,-3.10925402987224,9
n1479,-2.90512719009219,11
n1488,-3.70396596678197,5
n1493,-2.40058675432394,18
n1494,-2.52181158765623,16
n150,-3.70396596678196,5
n1504,-1.76875772912284,33
n1509,-2.24128070372103,21
n1511,-1.30286421198043,51
n1520,-2.65878877372373,14
