node_1,node_2
n0,n1490
n0,n2742
n0,n7265
n0,n8076
n0,n8844
n0,n4577
n0,n1099
n0,n9669
n0,n2535
n0,n9060
n0,n2260
n0,n4086
n0,n710
n0,n10886
n0,n8150
n0,n2954
n0,n469
n0,n6012
n0,n6469
n0,n122
n0,n9104
n0,n7372
n1,n8431
n1,n999
n1,n4827
n5080,n7763
n5363,n7763
n567,n7763
n3460,n7763
n3980,n7763
n6774,n7763
n4388,n7763
n5594,n7763
n1067,n7763
n162,n7763
n6937,n7763
n7300,n7763
n7498,n7763
n2622,n7763
n415,n7763
n7763,n10697
n2,n6187
n2,n10813
n2,n2830
n2,n9340
n2,n8786
n2,n5303
n2,n8605
n2,n3903
n2,n6747
n2,n535
n2,n7477
n2,n5722
n2,n1265
n2,n7292
n2,n10139
n2,n4080
n2,n9891
n2,n6934
n2,n10219
n2,n4799
n2,n2663
n2,n6399
n2,n4262
n2,n2278
n2,n5073
n2,n6156
n2,n550
n2,n9717
n2,n1970
n2,n2129
n2,n3740
n2,n8436
n2,n6322
n2,n6582
n2,n11024
n2,n8016
n2,n8669
n2,n9100
n2,n6952
n2,n1808
n2,n4093
n2,n6222
n2,n749
n2,n6603
n2,n5487
n2,n2469
n2,n8826
n2,n3084
n2,n5880
n2,n3397
n2,n2150
n2,n3582
n2,n5664
n2,n3108
n2,n6232
n2,n52
n2,n5269
n2,n940
n2,n3760
n2,n6297
n2,n1493
n2,n57
n2,n4999
n2,n6327
n2,n3070
n2,n1134
n2,n6974
n2,n1684
n2,n4128
n2,n7778
n2,n733
n2,n9214
n2,n9887
n2,n9948
n2,n6978
n2,n6980
n2,n8382
n2,n5696
n2,n6451
n2,n4855
n2,n7312
n2,n7681
n2,n5706
n2,n11060
n2,n3403
n2,n4862
n2,n6276
n2,n7326
n2,n1522
n2,n3270
n2,n11411
n2,n8687
n2,n79
n2,n6641
n2,n6007
n2,n8787
n2,n621
n2,n5840
n2,n1700
n2,n1358
n2,n881
n2,n1536
n2,n7012
n2,n7933
n2,n1868
n2,n5733
n2,n7195
n2,n1175
n2,n9429
n2,n1710
n2,n6485
n2,n7204
n2,n2755
n2,n2212
n2,n2213
n2,n1011
n2,n1376
n2,n3645
n2,n330
n2,n6692
n2,n6115
n2,n4353
n2,n1381
n2,n10917
n2,n8142
n2,n1565
n2,n8340
n2,n7482
n2,n1024
n2,n10755
n2,n290
n2,n10847
n2,n10549
n2,n851
n2,n8909
n2,n7158
n2,n8910
n2,n2591
n2,n5051
n2,n854
n2,n9663
n2,n4023
n2,n1528
n2,n8166
n2,n2238
n2,n4352
n2,n6639
n2,n8169
n2,n8460
n2,n10442
n2,n1218
n2,n7050
